sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,email_validation_status,email_validation_reason
independent,A.G.B.U. Alexander Primary School,Duffys Forest,2084,+61 2 9486 3266,office@alexander.nsw.edu.au,https://alexander.nsw.edu.au/,https://www.alexander.nsw.edu.au/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.6583,151.2107,valid,ok
government,Abbotsford Public School,Abbotsford,2046,9713 6220,,,https://abbotsford-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8582,151.1309,invalid,invalid_format
independent,Abbotsleigh,Wahroonga,2076,+61 2 9473 7777,,,http://www.abbotsleigh.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.7053,151.1228,invalid,invalid_format
independent,Abbotsleigh Junior School,Wahroonga,2076,+61 2 9473 7777,,,https://www.abbotsleigh.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.7053,151.1228,invalid,invalid_format
government,Aberdeen Public School,Aberdeen,2336,6543 7271,,,https://aberdeen-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-32.1586,150.942,invalid,invalid_format
government,Abermain Public School,Abermain,2326,4930 4210,,,https://abermain-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-32.8276,151.4082,invalid,invalid_format
government,Adaminaby Public School,Adaminaby,2629,6454 2265,,,https://adaminaby-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-35.9965,148.7724,invalid,invalid_format
government,Adamstown Public School,Adamstown,2289,4957 1114,,,https://adamstown-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-32.9428,151.6958,invalid,invalid_format
government,Adelong Public School,Adelong,2729,6946 2053,,,https://adelong-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-35.0974,147.8123,invalid,invalid_format
independent,Aetaomah School,Terragon,2484,+61 2 6679 7255,contact@aetaomah.nsw.edu.au,https://www.aetaomah.nsw.edu.au/contact-us-1,http://www.aetaomah.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-28.3702,153.3425,valid,ok
government,Airds High School,Campbelltown,2560,4625 5811,,,https://airds-h.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.05,150.8333,invalid,invalid_format
government,Ajuga School,Glenfield,2167,9827 6100,,,https://ajuga-s.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.9667,150.9,invalid,invalid_format
independent,Al Amanah College - Bankstown,Bankstown,2200,+61 2 9708 1220,admin@alamanah.nsw.edu.au,https://www.alamanah.nsw.edu.au/,https://www.alamanah.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9196,151.0308,valid,ok
