sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked
government,Darwin High School,The Gardens,0820,(08) 899 91222,darwin.high@education.nt.gov.au,https://darwinhigh.nt.edu.au/newsletter-success/,http://www.darwinhigh.nt.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.43893,130.83398,true
government,Northern Territory School of Distance Education,The Gardens,0820,(08) 892 22222,ntsde.it@education.nt.gov.au,https://ntsde.nt.edu.au/contact/,http://www.ntsde.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.4396483748962,130.833994695587,true
government,Centralian Senior College,Alice Springs,0870,(08) 895 85000,admin.centraliansc@ntschools.net,http://centralianseniorcollege.com.au/contact-us,http://centralianseniorcollege.com.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-23.6979,133.8953,true
government,Woolaning School,Litchfield Park,0822,(08) 8978 2334,admin.woolasch@education.nt.gov.au,,https://n/a,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-13.098819,130.654431,true
independent,Araluen Christian College,Alice Springs,0870,(08) 8955 3300,admin.acc@ntschools.net,http://acc.nt.edu.au/contact-us/,http://www.acc.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-23.70771,133.85232,true
catholic,Holy Family Catholic Primary School,Karama,0812,(08) 89276188,admin.holyfamily@nt.catholic.edu.au,http://www.holyfamilynt.catholic.edu.au/apps/search,http://www.holyfamilynt.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.39367,130.91166,true
catholic,Holy Spirit Catholic Primary School,Wanguri,0810,(08) 8927 3411,col.hs@nt.catholic.edu.au,http://www.holyspiritnt.catholic.edu.au/search-results,http://www.holyspiritnt.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.373488,130.88543,true
catholic,O'Loughlin Catholic College,Karama,0812,(08) 8945 1277,secretary.oloughlin@nt.catholic.edu.au,http://www.oloughlin.nt.edu.au/search/,http://www.oloughlin.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.39337,130.91045,true
catholic,Our Lady of the Sacred Heart Catholic College,Alice Springs,0870,(08) 8950 6400,admin.olshalice@nt.catholic.edu.au,http://www.olshalice.catholic.edu.au/search/,http://www.olshalice.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-23.707543,133.876955,true
catholic,Sacred Heart Catholic Primary School,Woodroffe,0830,(08) 8924 8700,admin.shps@nt.catholic.edu.au,https://shpsnt.catholic.edu.au/contact-us/,https://www.shpsnt.catholic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.49588,130.97937,true
catholic,St Francis of Assisi Catholic Primary School,Humpty Doo,0836,(08) 8988 1212,admin.sfas@nt.catholic.edu.au,https://www.sfasnt.catholic.edu.au/wp-admin/admin-post.php?action=mailpoet_subscription_form,http://www.sfasnt.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.581199,131.099073,true
catholic,St John's Catholic College,The Gardens,0820,(08) 8982 2222,admin.stjohns@nt.catholic.edu.au,http://www.stjohnsnt.catholic.edu.au/search/,http://www.stjohnsnt.catholic.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.440794,130.837954,true
catholic,St Joseph's Catholic College,Katherine,0850,(08) 89723555,admin.stjosephs@nt.catholic.edu.au,https://www.stjoeys.college/site-search,https://www.stjoeys.college/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-14.46194,132.27593,true
catholic,St Mary's Catholic Primary School,Darwin,0800,(08) 8981 9796,admin.stmarys@nt.catholic.edu.au,http://www.stmarysnt.catholic.edu.au/outside-school-hours-care/oshc-contact-and-service-details/,http://www.stmarysnt.catholic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.45935,130.83883,true
catholic,St Paul's Catholic Primary School,Rapid Creek,0810,(08) 8985 1911,admin.stpauls@nt.catholic.edu.au,http://www.stpaulsnt.catholic.edu.au/site-search,http://www.stpaulsnt.catholic.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.38695,130.85821,true
government,Casuarina Senior College,Moil,0810,(08) 898 37300,csc.admin@education.nt.gov.au,http://www.casuarinaseniorcollege.com.au/contact-us,http://www.casuarinaseniorcollege.com.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.3836,130.879,true
government,Kintore Street School,Katherine,0850,(08) 8973 3888,kintore.admin@education.nt.gov.au,https://kintorestreetschool.nt.edu.au/,https://kintorestreetschool.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-14.46361,132.25918,true
independent,NT Christian College,Marrara,0812,(08) 8920 2000,admin.ntcc@ntschools.net,https://www.ntcc.nt.edu.au/contact-us/,https://www.ntcc.nt.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.40795029,130.917266,true
government,Arlparra School,Utopia,0872,(08) 8956 9178,info@australianschoolsdirectory.com.au,https://www.australianschoolsdirectory.com.au/contact.php,https://www.australianschoolsdirectory.com.au/3475/arlparra-school-alice-springs,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-22.087628,134.775047,true
independent,Mapuru Yirralka College,Mapuru,0822,(08) 8970 4996,principal@yirralka.nt.ed.au,,http://www.arnhemweavers.com.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.252298,135.437467,true
independent,Good Shepherd Lutheran College,Howard Springs,0835,08 8983 0300,admin@goodshepherd.nt.edu.au,https://www.goodshepherd.nt.edu.au/contact/outside-school-hours-care,https://www.goodshepherd.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.495852,131.024977,true
government,Dripstone Secondary College,Tiwi,0810,(08) 898 37777,dripstone.secondary@education.nt.gov.au,,http://www.dripstonemiddle.nt.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,true
government,Katherine High School,Katherine East,0850,(08) 897 38200,admin.kathehs@ntschools.net,https://katherinehighschool.us18.list-manage.com/subscribe/post?u=b603acc98c7918a29903b32dc&id=460f45a120,https://www.katherinehighschool.com.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-14.46347,132.28306,true
government,Nhulunbuy High School,Nhulunbuy,0880,(08) 898 70844,nhulunbuy.high@education.nt.gov.au,,https://n/a,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.18676,136.78298,true
government,Nightcliff High School,Nightcliff,0810,(08) 898 37677,admin.nightms@ntschools.net,http://www.nightcliffmiddle.nt.edu.au/,http://www.nightcliffmiddle.nt.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,true
government,Sanderson High School,Malak,0812,(08) 7923 0500,shs@education.nt.gov.au,,https://sandersonmiddle.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,true
government,Taminmin College,Humpty Doo,0836,(08) 898 37000,admin.taminmin@ntschools.net,https://taminmin.nt.edu.au/,http://www.taminmin.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-12.58037,131.10089,true
government,Tennant Creek High School,Tennant Creek,0860,(08) 8962 2102,admin.tchs@education.nt.gov.au,,http://,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-19.644142,134.196942,true
government,Alice Springs School Of The Air,Alice Springs,0870,(08) 8951 6800,assoa@assoa.nt.edu.au,https://www.assoa.nt.edu.au/contact/,http://www.assoa.nt.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-23.67805,133.86618,true
