sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked
independent,A B Paterson College (Arundel),Arundel,4214,(07) 5594 7947,,,https://www.abpat.qld.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.927672,153.360364,false
government,Abercorn State School,Abercorn,4627,(07) 4167 5190,principal@abercornss.eq.edu.au,https://www.abercornss.eq.edu.au/,https://www.abercornss.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-25.135955,151.127031,true
government,Abergowrie State School,Abergowrie,4850,(07) 4777 4672,admin@abergowriess.eq.edu.au,https://www.abergowriess.eq.edu.au/,https://www.abergowriess.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-18.474697,145.88351,true
independent,Aboriginal & Islander Independent Community School (Acacia Ridge),Acacia Ridge,4110,(07) 3255 6133,,,https://www.murrischool.com,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.581562,153.025757,true
government,Acacia Ridge State School,Acacia Ridge,4110,(07) 3717 4111,admin@acaciaridgess.eq.edu.au,https://www.acaciaridgess.eq.edu.au/,https://www.acaciaridgess.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.579554,153.016074,true
government,Agnes Water State School,Agnes Water,4677,(07) 4902 1333,principal@agneswaterss.eq.edu.au,https://www.agneswaterss.eq.edu.au/,https://www.agneswaterss.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-24.213972,151.91056,true
government,Airville State School,Airville,4807,(07) 4790 7333,principal@airvilless.eq.edu.au,https://www.airvilless.eq.edu.au/,https://www.airvilless.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-19.65519,147.347629,true
government,Aitkenvale State School,Aitkenvale,4814,(07) 4421 2333,principal@aitkenvaless.eq.edu.au,https://www.aitkenvaless.eq.edu.au/,https://www.aitkenvaless.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-19.296785,146.763058,true
government,Albany Creek State High School,Albany Creek,4035,(07) 3325 6333,principal@albanycreekshs.eq.edu.au,https://www.albanycreekshs.eq.edu.au/,https://www.albanycreekshs.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.357634,152.968606,true
government,Albany Creek State School,Albany Creek,4035,(07) 3264 0111,admin@albanycreekss.eq.edu.au,https://www.albanycreekss.eq.edu.au/,https://www.albanycreekss.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.34586,152.970666,true
government,Albany Hills State School,Albany Creek,4035,(07) 3264 0777,,https://www.albahillss.eq.edu.au/,https://www.albahillss.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.36034,152.97278,false
catholic,Albert Park Flexible Learning Centre (Milton),Milton,4064,(07) 3071 9010,,https://www.youthplus.edu.au/flexible-learning-centre-locations-5/,https://www.youthplus.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.4659,153.010813,false
government,Albert State School,Maryborough,4650,(07) 4120 0888,admin@albertss.eq.edu.au,https://www.albertss.eq.edu.au/,https://www.albertss.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-25.546785,152.703888,true
government,Aldridge State High School,Maryborough,4650,(07) 4120 8444,principal@aldridgeshs.eq.edu.au,https://www.aldridgeshs.eq.edu.au/,https://www.aldridgeshs.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-25.516557,152.688545,true
government,Alexandra Bay State School,Diwan,4873,(07) 4098 9137,admin@alexbayss.eq.edu.au,https://www.alexbayss.eq.edu.au/,https://www.alexbayss.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-16.213862,145.42225,true
government,Alexandra Hills State High School,Alexandra Hills,4161,(07) 3820 1444,educate@alexandrahillsshs.eq.edu.au,https://www.alexandrahillsshs.eq.edu.au/,https://www.alexandrahillsshs.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.523768,153.215428,true
government,Alexandra Hills State School,Alexandra Hills,4161,(07) 3820 0333,admin@alexandrahillsss.eq.edu.au,https://www.alexandrahillsss.eq.edu.au/,https://www.alexandrahillsss.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.518141,153.221279,true
government,Algester State School,Algester,4115,(07) 3712 5111,,https://www.algesterss.eq.edu.au/,https://www.algesterss.eq.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.615675,153.031915,false
catholic,All Hallows' School (Brisbane),Brisbane,4000,(07) 3831 3100,admin@ahs.qld.edu.au,https://www.ahs.qld.edu.au/search,https://www.ahs.qld.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-27.460894,153.032816,true
independent,All Saints Anglican School (Merrimac),Merrimac,4226,(07) 5530 2855,enquiries@asas.qld.edu.au,https://www.asas.qld.edu.au/search,https://www.asas.qld.edu.au,https://www.data.qld.gov.au/dataset/0d7eee4a-2990-4195-9d3b-89f4af818e32,2026-02-20,-28.060893,153.361156,true
