sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked
independent,Sunrise Christian School Fullarton,Fullarton,5063,,info@sunrise.sa.edu.au,https://sunrise.sa.edu.au/search/results,http://www.sunrise.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.954499,138.621828,true
government,Port Neill Primary School,Port Neill,5604,,dl.0361.info@schools.sa.edu.au,https://ptneill.sa.edu.au/,http://www.ptneill.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.11700739,136.34277034,true
government,Thebarton Senior College,Torrensville,5031,,info@tsc.sa.edu.au,http://www.tsc.sa.edu.au/ContactUs,http://www.tsc.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.917275,138.562772,true
independent,Sunrise Christian School Marion,Marion,5043,,info@sunrise.sa.edu.au,https://sunrise.sa.edu.au/search/results,https://sunrise.sa.edu.au/marion/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.016798,138.557341,true
independent,Muirden Senior College,Adelaide,5000,,muirden@muirden.sa.edu.au,http://www.muirden.sa.edu.au/#wpcf7-f18116-p15676-o1,http://www.muirden.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.933349,138.600554,true
catholic,Sacred Heart College,Somerton Park,5044,,enquiries@shc.sa.edu.au,https://www.shc.sa.edu.au/,http://www.shc.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,true
government,Northern Adelaide Senior College,Elizabeth,5112,,dl.1012.info@schools.sa.edu.au,https://northernadelaidesc.sa.edu.au/,http://www.northernadelaidesc.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.71345547,138.67101822,true
government,Marden Senior College,Marden,5070,,msc.info494@schools.sa.edu.au,https://msc.sa.edu.au,https://www.msc.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.891954,138.63523,true
government,Port Lincoln Junior Primary School,Port Lincoln,5606,,dl.1277.info@schools.sa.edu.au,https://lincolnjp.sa.edu.au/contact/,http://www.lincolnjp.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.724303,135.857806,true
government,Youth Education Centre,Cavan,5072,,dl.0195.info@schools.sa.edu.au,https://yec.sa.edu.au/contact-us/,http://www.yec.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,true
government,Australian Science and Mathematics School,Bedford Park,5042,,info@asms.sa.edu.au,https://asms.sa.edu.au/contact/,https://www.asms.sa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-35.024872,138.573379,true
independent,University Senior College at Adelaide University,Adelaide University,5005,,media@adelaide.edu.au,https://adelaideuni.edu.au/search/,http://www.usc.adelaide.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,true
catholic,St Patrick's Technical College,Edinburgh North,5113,,info@stpatstech.sa.edu.au,https://stpatstech.sa.edu.au/,http://www.stpatstech.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.710863,138.664167,true
independent,Trinity College Senior,Evanston South,5116,,foundation@trinity.sa.edu.au,https://www.trinity.sa.edu.au/search/results,http://www.trinity.sa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,-34.63298246,138.73444239,true
catholic,Nazareth Catholic College,Flinders Park,5025,,student.services_p@nazareth.catholic.edu.au,https://www.nazareth.org.au,https://www.nazareth.org.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-21,,,true
