sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked
catholic,Parade College,Bundoora,3083,03 9468 3300,,https://www.parade.vic.edu.au/search/results,http://www.parade.vic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.690178,145.066978,true
catholic,Simonds Catholic College,West Melbourne,3003,03 9321 9200,contactus@sccmelb.catholic.edu.au,https://www.sccmelb.catholic.edu.au/search/results,http://www.sccmelb.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.805971,144.952883,true
catholic,St Mary’s College Melbourne,St Kilda East,3183,03 9529 6611,enquiries@stmaryscollege.vic.edu.au,https://www.stmaryscollege.vic.edu.au/search/results,https://www.stmaryscollege.vic.edu.au/,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.859365,144.997001,true
catholic,St Patrick's College Ballarat,Ballarat,3350,03 5331 1688,,,,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.559711,143.831558,true
catholic,St Patrick's School,Ballarat,3350,03 5332 7680,,http://www.spballarat.catholic.edu.au/site-search,http://www.spballarat.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.564397,143.847147,true
catholic,St Alipius' Parish School,Ballarat East,3350,03 5331 1816,,,http://www.saballarat.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.56170371,143.8740084,true
catholic,Emmanuel College Warrnambool,Warrnambool,3280,03 5560 0888,registrar@emmanuel.vic.edu.au,http://www.emmanuel.vic.edu.au/search/results,http://www.emmanuel.vic.edu.au/,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-38.370986,142.477358,true
catholic,Loreto College,Ballarat,3350,03 5329 6100,info@loreto.vic.edu.au,https://www.loreto.vic.edu.au/search,http://www.loreto.vic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.55686069,143.8234695,true
catholic,St Mary's School,Mansfield,3722,03 5775 2670,office@smmansfield.catholic.edu.au,https://www.smmansfield.catholic.edu.au/contact,http://www.smmansfield.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.058351,146.089007,true
catholic,Sacred Heart School,Newport,3015,03 9391 6262,office@shnewport.catholic.edu.au,https://www.shnewport.catholic.edu.au/contact,http://www.shnewport.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.840028,144.881396,true
catholic,St Mary's School,Williamstown,3016,03 9397 7926,,http://www.smwilliamstown.catholic.edu.au/site-search,http://www.smwilliamstown.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.863498,144.900894,true
catholic,St Michael’s Primary School,North Melbourne,3051,03 9329 9206,principal@smnthmelbourne.catholic.edu.au,https://www.smnthmelbourne.catholic.edu.au,http://www.smnthmelbourne.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.793305,144.946246,true
catholic,St Patrick's School,Wangaratta,3677,03 5721 5795,,,http://www.spwangaratta.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-36.356163,146.32195,true
catholic,St Mary's School,St Kilda East,3183,03 9510 7420,admin@smstkildaeast.catholic.edu.au,http://www.smstkildaeast.catholic.edu.au,http://www.smstkildaeast.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.859021,144.997592,true
catholic,Assumption College,Kilmore,3764,03 5783 5000,reception@assumption.vic.edu.au,https://www.assumption.vic.edu.au/,https://www.assumption.vic.edu.au/,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.301013,144.947629,true
catholic,St Brendan's School,Flemington,3031,03 9376 0249,principal@sbflemington.catholic.edu.au,http://www.sbflemington.catholic.edu.au/search,http://www.sbflemington.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.784696,144.931728,true
catholic,Catherine McAuley College,Bendigo,3550,03 5445 9100,info@cmcb.vic.edu.au,https://www.cmcb.vic.edu.au/search/results,https://www.cmc.vic.edu.au/,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-36.753444,144.273362,true
catholic,St Augustine's School,Maryborough,3465,03 5460 4440,admin@samaryborough.catholic.edu.au,http://www.samaryborough.catholic.edu.au/site-search,http://www.samaryborough.catholic.edu.au,https://data.gov.au/data/dataset/baa49c22-79b7-4e65-bb3e-ac8ea91e6787,2026-02-21,-37.051831,143.736798,true
